Date,AAPL,AMD,AMT,AMZN,BAC,CAT,CSCO,CVX,DUK,F,GOOG,HOG,HON,HPQ,IBM,JNJ,JPM,KO,MS,MSFT,NEE,NVDA,PFE,PG,PLD,SONY,T,UNH,VZ,XOM
12/06/2023,190.520751953125,116.81999969482422,195.39646911621094,144.52000427246094,29.09842872619629,247.60223388671875,44.79522705078125,130.58953857421875,87.10430145263672,9.301518440246582,130.45156860351562,29.672563552856445,178.62106323242188,26.150405883789062,150.79193115234375,147.3046112060547,148.82838439941406,55.233726501464844,74.12355041503906,363.38201904296875,56.72710418701172,45.477664947509766,24.8840274810791,138.421875,110.62332153320312,17.511655807495117,15.091269493103027,528.0546264648438,33.19387435913086,92.4477767944336
12/07/2023,192.45248413085938,128.3699951171875,195.35939025878906,146.8800048828125,29.222333908081055,248.9951629638672,45.32112121582031,130.48876953125,87.5864486694336,9.414632797241211,137.41932678222656,30.820388793945312,178.62106323242188,26.99485206604004,150.73550415039062,146.1571807861328,149.285400390625,55.365684509277344,75.00098419189453,365.5004577636719,56.39729309082031,46.57005310058594,24.7457332611084,138.28028869628906,110.53040313720703,17.533445358276367,15.224896430969238,526.84375,33.32320785522461,91.80416870117188
12/08/2023,193.8790283203125,128.9199981689453,191.40066528320312,147.4199981689453,29.508264541625977,251.016845703125,45.43381881713867,132.2204132080078,87.52154541015625,9.5799560546875,135.622802734375,30.60585594177246,175.7492218017578,27.040748596191406,152.37249755859375,145.23548889160156,150.9326171875,55.2431526184082,76.80250549316406,368.73223876953125,56.25594711303711,47.479549407958984,24.875383377075195,137.00604248046875,111.36669158935547,17.68994140625,15.073448181152344,528.28515625,32.97832489013672,92.85820770263672
12/11/2023,191.37269592285156,134.41000366210938,190.6126251220703,145.88999938964844,29.403423309326172,252.3904266357422,46.3823127746582,132.257080078125,88.42095947265625,9.632164001464844,133.69723510742188,30.863283157348633,180.9690704345703,27.87601661682129,153.8307342529297,145.83740234375,151.48486328125,55.64845275878906,77.30654907226562,365.8453063964844,56.2653694152832,46.601036071777344,24.754379272460938,137.63845825195312,113.36451721191406,17.695884704589844,14.806190490722656,522.4330444335938,32.47826385498047,92.92350006103516
12/12/2023,192.88836669921875,137.61000061035156,190.10272216796875,147.47999572753906,29.298583984375,252.8837127685547,46.32596969604492,130.5620574951172,88.39313507080078,9.710472106933594,132.6451416015625,30.777475357055664,181.9805145263672,28.00199317932129,154.95970153808594,145.84678649902344,152.83688354492188,56.00661849975586,78.03462982177734,368.8800354003906,56.086326599121094,47.630462646484375,24.702516555786133,137.75172424316406,113.4295654296875,17.90586280822754,14.61910629272461,524.3933715820312,32.15925598144531,91.45903778076172
12/13/2023,196.1079559326172,138.19000244140625,195.65606689453125,148.83999633789062,30.537626266479492,259.2099609375,46.664039611816406,132.4952850341797,90.94303131103516,9.780083656311035,132.9727020263672,31.74046516418457,183.39833068847656,27.927888870239258,153.9342041015625,146.5240020751953,153.3510284423828,56.48732376098633,79.92948150634766,368.8702087402344,58.90383529663086,48.06122589111328,23.043004989624023,140.24359130859375,120.09205627441406,18.183198928833008,14.654742240905762,527.5548706054688,31.891983032226562,92.27055358886719
12/14/2023,196.256591796875,138.0,196.70372009277344,147.4199981689453,32.348533630371094,275.8476867675781,46.42926788330078,137.36959838867188,91.15629577636719,10.510977745056152,132.2084197998047,33.9810791015625,183.69638061523438,28.65040397644043,153.26626586914062,147.53976440429688,156.1407928466797,55.64845275878906,84.97933959960938,360.55419921875,59.15825271606445,48.32307815551758,22.584909439086914,136.5435333251953,127.4142837524414,18.307998657226562,14.832916259765625,513.3619995117188,32.65070343017578,94.75174713134766
12/15/2023,195.7216339111328,139.14999389648438,196.68515014648438,149.97000122070312,32.024478912353516,276.3990173339844,46.83308029174805,136.83819580078125,89.5985336303711,10.458771705627441,132.84364318847656,33.819000244140625,183.68734741210938,28.511455535888672,152.62649536132812,145.93145751953125,157.32142639160156,55.233726501464844,85.4833755493164,365.2837219238281,57.95210647583008,48.86277770996094,23.01707649230957,135.88282775878906,125.55330657958984,18.361486434936523,14.717103004455566,510.3639221191406,32.2196044921875,94.11746215820312
12/18/2023,194.05734252929688,138.89999389648438,195.3315887451172,154.07000732421875,31.86244773864746,276.3699951171875,47.1805534362793,137.1405487060547,90.09925842285156,10.380461692810059,136.168701171875,32.85600280761719,185.22259521484375,28.029781341552734,153.10630798339844,146.19480895996094,158.2735595703125,55.629600524902344,84.71797943115234,367.17547607421875,57.48093795776367,50.04911804199219,23.38873863220215,137.96881103515625,124.07579803466797,18.26639747619629,14.663650512695312,505.9724426269531,32.47826385498047,94.8170394897461
12/19/2023,195.09750366210938,140.14999389648438,195.6190185546875,153.7899932861328,31.938692092895508,283.38299560546875,47.12419891357422,138.9363555908203,89.76544952392578,10.458771705627441,137.07196044921875,33.59016418457031,184.7710418701172,28.04830551147461,151.99615478515625,147.15415954589844,160.38729858398438,55.45051574707031,85.80076599121094,367.7765197753906,58.01806640625,49.57637405395508,24.33949851989746,137.96881103515625,125.07640838623047,18.14952278137207,14.797280311584473,503.56060791015625,32.39204788208008,96.06697082519531
12/20/2023,193.0072479248047,135.47000122070312,195.72096252441406,152.1199951171875,31.433547973632812,280.2392578125,46.76734161376953,137.66281127929688,88.7176742553711,10.267346382141113,138.62034606933594,32.98948669433594,183.2357940673828,27.594423294067383,150.57557678222656,144.1538848876953,158.57827758789062,54.30059814453125,85.07266998291016,365.17529296875,56.38786315917969,48.08420944213867,23.88140296936035,135.83563232421875,122.00911712646484,17.84445571899414,14.610198020935059,495.7675476074219,32.15925598144531,94.46257781982422
12/21/2023,192.85862731933594,139.91000366210938,198.65989685058594,153.83999633789062,31.64322853088379,280.5874938964844,46.67343521118164,138.08425903320312,89.34819793701172,10.737208366394043,140.74436950683594,34.21943664550781,185.17742919921875,27.918624877929688,151.2623291015625,145.63050842285156,159.48280334472656,54.65877151489258,86.46348571777344,368.0523681640625,56.161712646484375,48.96272277832031,24.469146728515625,136.16595458984375,122.46734619140625,18.37535285949707,14.690376281738281,499.56317138671875,32.27133560180664,94.89166259765625
12/22/2023,191.7887725830078,139.60000610351562,199.50357055664062,153.4199981689453,31.86244773864746,280.86798095703125,47.03968811035156,138.39576721191406,89.81182861328125,10.745909690856934,141.6575469970703,34.2385139465332,185.71026611328125,27.955678939819336,152.5418243408203,146.213623046875,159.38758850097656,54.969810485839844,86.25813293457031,369.0770568847656,56.30306625366211,48.80281066894531,24.54693603515625,137.12875366210938,123.81394958496094,18.252531051635742,14.743827819824219,499.9763488769531,32.32307815551758,95.05955505371094
12/26/2023,191.243896484375,143.41000366210938,200.47705078125,153.41000366210938,32.27227783203125,285.9656982421875,47.218109130859375,139.64183044433594,89.6912841796875,10.83292007446289,141.7568359375,34.92500305175781,187.87765502929688,28.168724060058594,153.54849243164062,146.85317993164062,160.33021545410156,55.196022033691406,86.65950012207031,369.1559753417969,56.73651885986328,49.251556396484375,24.555580139160156,137.75172424316406,124.80520629882812,18.51599884033203,14.761646270751953,499.7073669433594,32.314453125,95.27409362792969
12/27/2023,191.34295654296875,146.07000732421875,202.5141143798828,153.33999633789062,32.25321960449219,288.3742980957031,47.36836624145508,139.18373107910156,89.29256439208984,10.780713081359863,140.38706970214844,35.41126251220703,188.76266479492188,28.01125717163086,153.78367614746094,147.05068969726562,161.29185485839844,55.33740234375,87.42491912841797,368.5746154785156,57.085174560546875,49.389488220214844,24.72844696044922,137.86497497558594,125.47850799560547,18.622970581054688,14.770554542541504,502.3594970703125,32.16788101196289,94.82636260986328
12/28/2023,191.76893615722656,148.75999450683594,202.92529296875,153.3800048828125,32.291351318359375,287.17486572265625,47.40593338012695,137.2230224609375,89.86744689941406,10.737208366394043,140.228271484375,35.516143798828125,188.8981475830078,27.955678939819336,154.05654907226562,147.26699829101562,162.14877319335938,55.37510681152344,87.40625,369.76678466796875,57.49980163574219,49.49442672729492,24.8840274810791,137.55348205566406,126.42301940917969,18.749752044677734,14.913093566894531,504.3870544433594,32.32307815551758,93.45518493652344
12/29/2023,190.72877502441406,147.41000366210938,201.72918701171875,151.94000244140625,32.09119415283203,286.00445556640625,47.44349670410156,136.66412353515625,89.97872161865234,10.606690406799316,139.880859375,35.12522506713867,189.3857879638672,27.872312545776367,153.8683624267578,147.41749572753906,161.9583282470703,55.544769287109375,87.0422134399414,370.5157165527344,57.2359504699707,49.49442672729492,24.8840274810791,138.3180389404297,124.65557861328125,18.757675170898438,14.94872760772705,505.8955993652344,32.50413131713867,93.25931549072266
01/02/2024,183.9032440185547,138.5800018310547,204.4671173095703,149.92999267578125,32.31040954589844,283.1412048339844,47.43410873413086,136.95729064941406,90.69267272949219,10.580584526062012,138.52105712890625,34.600826263427734,188.74461364746094,27.631471633911133,151.93971252441406,150.45538330078125,163.8435821533203,56.38364791870117,87.6489486694336,365.42156982421875,58.01806640625,48.14117431640625,25.69649887084961,140.39462280273438,125.88998413085938,18.482322692871094,15.367435455322266,518.2627563476562,33.52150344848633,95.47932434082031
01/03/2024,182.52621459960938,135.32000732421875,200.6171875,148.47000122070312,31.957754135131836,275.0061340332031,47.80320739746094,139.56854248046875,91.59209442138672,10.189035415649414,139.31512451171875,33.07529830932617,184.7078094482422,27.696313858032227,150.6226043701172,151.39588928222656,163.12945556640625,56.515602111816406,85.79141998291016,365.1556091308594,58.41383743286133,47.54250717163086,25.69649887084961,139.5451202392578,122.0558853149414,18.300073623657227,15.349617004394531,520.84765625,33.762916564941406,96.28150177001953
01/04/2024,180.2081298828125,136.00999450683594,201.3367156982422,144.57000732421875,32.21509552001953,276.7472839355469,47.3962516784668,138.03848266601562,91.32319641113281,10.162931442260742,137.01235961914062,32.76066207885742,185.04197692871094,27.492528915405273,151.33763122558594,151.07614135742188,164.21200561523438,56.32709503173828,86.01543426513672,362.5346374511719,58.234798431396484,47.971275329589844,25.143327713012695,140.30966186523438,121.84078216552734,18.03660774230957,15.278347969055176,524.1051025390625,33.943973541259766,95.44200897216797
01/05/2024,179.4849395751953,138.5800018310547,200.23406982421875,145.24000549316406,32.815555572509766,279.4847412109375,47.40571594238281,137.80023193359375,91.36957550048828,10.31085205078125,136.3672332763672,33.618770599365234,183.8047332763672,27.742631912231445,149.73822021484375,151.54640197753906,165.03590393066406,56.24225616455078,87.03287506103516,362.3474426269531,58.4986457824707,49.06966018676758,25.471771240234375,139.14866638183594,122.09326934814453,18.07028579711914,15.563425064086914,516.37939453125,34.659576416015625,95.73116302490234
01/08/2024,183.82395935058594,146.17999267578125,201.91607666015625,149.10000610351562,32.55821990966797,282.69622802734375,47.75589370727539,136.9756317138672,92.15772247314453,10.415265083312988,139.48385620117188,33.552024841308594,183.01907348632812,28.715242385864258,151.6010284423828,151.922607421875,164.79638671875,56.656986236572266,87.28489685058594,369.18548583984375,59.29018783569336,52.223899841308594,25.566848754882812,140.347412109375,124.5340347290039,18.304035186767578,15.429795265197754,515.5529174804688,34.5733642578125,94.13611602783203
01/09/2024,183.4079132080078,149.25999450683594,197.9727020263672,151.3699951171875,32.05306625366211,282.7349548339844,47.2353630065918,133.49395751953125,91.8795394897461,10.30215072631836,141.49874877929688,32.62718200683594,182.08889770507812,27.937152862548828,150.60379028320312,152.0166473388672,163.49354553222656,56.55330276489258,85.93143463134766,370.2693176269531,58.432682037353516,53.11041259765625,25.41126823425293,140.92318725585938,124.44052124023438,18.24658966064453,15.346501350402832,517.3306884765625,34.22705841064453,92.97012329101562
01/10/2024,184.44808959960938,148.5399932861328,195.27215576171875,153.72999572753906,32.024478912353516,283.7602844238281,47.54767990112305,132.3944854736328,92.05571746826172,10.293448448181152,142.72950744628906,32.97042465209961,182.78427124023438,28.1038875579834,151.68569946289062,152.24234008789062,163.8384246826172,56.7418212890625,85.39005279541016,377.14678955078125,58.687103271484375,54.31973648071289,25.056894302368164,141.5272979736328,124.88938903808594,19.04689598083496,15.274069786071777,516.629150390625,34.26213073730469,92.05599975585938
01/11/2024,183.8536834716797,148.02000427246094,194.03866577148438,155.17999267578125,31.59557342529297,282.5124816894531,47.73695755004883,133.10916137695312,90.08071899414062,10.189035415649414,142.6004638671875,32.59857177734375,182.125,27.788944244384766,152.56065368652344,151.565185546875,163.14865112304688,56.37421798706055,84.484619140625,378.9794921875,57.21710968017578,54.79146957397461,24.54693603515625,142.06529235839844,122.80400085449219,19.27668571472168,14.694612503051758,518.5894165039062,33.227603912353516,92.03734588623047
01/12/2024,184.18060302734375,146.55999755859375,195.70196533203125,154.6199951171875,31.261985778808594,280.9163513183594,47.64231872558594,134.9324493408203,91.29537963867188,9.971508026123047,143.16622924804688,32.512760162353516,181.61026000976562,27.612947463989258,155.9851837158203,152.73143005371094,161.9511260986328,56.920902252197266,83.72854614257812,382.7630920410156,57.518646240234375,54.67953872680664,24.806236267089844,142.15028381347656,123.01908111572266,19.760040283203125,14.920963287353516,501.1295166015625,33.806236267089844,93.2313003540039
01/16/2024,181.91201782226562,158.74000549316406,194.41244506835938,153.16000366210938,30.61387062072754,277.84033203125,47.87892150878906,131.6523895263672,90.89667510986328,9.971508026123047,143.00743103027344,32.4555549621582,178.60296630859375,26.946012496948242,157.07650756835938,150.97267150878906,160.93563842773438,56.54387664794922,80.24686431884766,384.5365905761719,56.868446350097656,56.350608825683594,24.477794647216797,141.3856964111328,121.5415267944336,19.445066452026367,14.884745597839355,498.8617248535156,34.44623947143555,91.12322998046875
01/17/2024,180.97091674804688,160.1699981689453,191.51565551757812,151.7100067138672,30.30887794494629,269.521484375,47.604461669921875,131.13009643554688,89.78399658203125,9.806185722351074,141.8262939453125,32.05510330200195,178.76553344726562,26.53844451904297,156.2486114501953,150.88800048828125,160.07342529296875,56.54387664794922,78.79069519042969,383.74835205078125,54.908443450927734,56.021793365478516,24.330856323242188,141.5272979736328,118.63322448730469,19.296497344970703,14.857583045959473,504.425537109375,34.07801818847656,90.4609603881836
01/18/2024,186.8652801513672,162.6699981689453,190.5438232421875,153.5,30.24216079711914,272.6845397949219,48.03034591674805,129.93902587890625,88.88458251953125,9.562553405761719,143.91065979003906,32.264862060546875,180.73426818847656,26.53844451904297,156.96360778808594,151.62164306640625,160.3895721435547,56.7041130065918,78.31465148925781,388.0837097167969,54.3242073059082,57.07520294189453,24.27899742126465,140.7113494873047,118.07213592529297,19.383657455444336,14.848528861999512,496.16162109375,34.139381408691406,90.2930679321289
